Script,Last Status,Runs,Fails,First Run,Last Run,Avg Time(Success)
new,Success,3,1,2018-05-24 16:19:45 +0530,2018-05-24 16:21:14 +0530,0:00:00
script1,Failure,12,5,2018-05-23 10:52:50 +0530,2018-05-23 16:56:39 +0530,0:00:09
script3,Success,1,0,2018-05-24 16:21:14 +0530,2018-05-24 16:21:14 +0530,0:00:00
sript2,Success,1,0,2018-05-24 16:21:14 +0530,2018-05-24 16:21:14 +0530,0:00:00
