Script,Last Status,Runs,Fails,First Run,Last Run,Avg Time(Success)
Day3,Success,1,0,2018-05-24 16:20:14 +0530,2018-05-24 16:20:14 +0530,0:00:00
Torbocapture,Success,1,0,2018-05-24 16:20:14 +0530,2018-05-24 16:20:14 +0530,0:00:00
Master,Success,2,0,2018-05-24 16:19:26 +0530,2018-05-24 16:20:14 +0530,0:00:00
